iter	MultiClass
278	0.1333348731
279	0.1326800357
280	0.1323001526
281	0.1317530665
282	0.1313212548
283	0.1308094064
284	0.1302292159
285	0.1298938833
286	0.129128444
287	0.1283587315
288	0.1278131992
289	0.1272927965
290	0.1269281274
291	0.1264710057
292	0.1261882251
293	0.1258506859
294	0.1255540187
295	0.1248700504
296	0.1244913085
297	0.1241233532
298	0.1231801826
299	0.1227299765
300	0.1220062722
301	0.1215239862
302	0.1209197071
303	0.1203430359
304	0.12003299
305	0.1195980682
306	0.1190589226
307	0.1183847165
308	0.1175130314
309	0.1169951762
310	0.1166263059
311	0.1161524554
312	0.1156276365
313	0.1150455998
314	0.1146861114
315	0.1141327469
316	0.1138561659
317	0.1133724747
318	0.1128193099
319	0.1122451161
320	0.1116198128
321	0.1110392494
322	0.110401075
323	0.1100635098
324	0.1097280964
325	0.1093901949
326	0.1089872847
327	0.1084984679
328	0.108026423
329	0.1077057875
330	0.107477392
331	0.1071625173
332	0.1065415643
333	0.1061825785
334	0.1056555535
335	0.1054801873
336	0.1052177574
337	0.1046459557
338	0.1042698571
339	0.103942937
340	0.1032863115
341	0.1031447946
342	0.1026025286
343	0.1021331782
344	0.1016915792
345	0.1012408096
346	0.1007645634
347	0.100310502
348	0.1000304904
349	0.09930581962
350	0.09886442928
351	0.09839982116
352	0.09801261741
353	0.09717209846
354	0.09688072696
355	0.09638533536
356	0.09601947334
357	0.09571766803
358	0.09535072659
359	0.09503808029
360	0.09476080698
361	0.0944546338
362	0.09406818607
363	0.09374017144
364	0.09347351836
365	0.09299683521
366	0.09276197376
367	0.09241796796
368	0.09217747812
369	0.09189550501
370	0.09163603446
371	0.09122332043
372	0.09097394845
373	0.09058382696
374	0.09039412271
375	0.09018463735
376	0.08992963345
377	0.08965314755
378	0.08922366147
379	0.0886159431
380	0.08833037597
381	0.0878465622
382	0.08743556244
383	0.08718258819
384	0.08688639947
385	0.08655174806
386	0.0861383621
387	0.08589225221
388	0.08558583142
389	0.0851371336
390	0.08469335153
391	0.08439589958
392	0.08397057195
393	0.08373667122
394	0.08324977551
395	0.08297154069
396	0.08243767172
397	0.08207557207
398	0.08185387597
399	0.08165339753
400	0.08148122956
401	0.08123822543
402	0.08094362494
403	0.08052319315
404	0.08000093203
405	0.07970748024
406	0.07957531641
407	0.07931673951
408	0.07912286159
409	0.0788506494
410	0.0785263675
411	0.07828680912
412	0.07815560284
413	0.07775332083
414	0.07747578333
415	0.07722226858
416	0.07673690893
417	0.07660211024
418	0.07622376537
419	0.07584406717
420	0.07566473758
421	0.07523123537
422	0.07491975284
423	0.07471195764
424	0.07444667261
425	0.07428859228
426	0.07394310058
427	0.07373350462
428	0.07345586352
429	0.07332493459
430	0.07297078892
431	0.0726691956
432	0.07224656669
433	0.07205408597
434	0.0716944725
435	0.07146398959
436	0.07115497079
437	0.0710100565
438	0.07056510233
439	0.07019887796
440	0.06999001468
441	0.0695858479
442	0.06933592711
443	0.06917404754
444	0.06899639103
445	0.06871735856
446	0.06847179319
447	0.06832844904
448	0.06814338732
449	0.06801035669
450	0.06777716602
451	0.06761672208
452	0.06737919279
453	0.0672280879
454	0.06700850165
455	0.06677081609
456	0.06652288263
457	0.06634692307
458	0.06608058573
459	0.0657813815
460	0.06548938185
461	0.06529579132
462	0.06519694192
463	0.0650689392
464	0.06483281653
465	0.06451865344
466	0.06433961903
467	0.06415992192
468	0.06404079636
469	0.06377628514
470	0.06353452248
471	0.06333493673
472	0.06312118913
473	0.06280040474
474	0.06255878622
475	0.06233969119
476	0.06215208564
477	0.06197423197
478	0.06180039668
479	0.06160705243
480	0.06138966977
481	0.06112658464
482	0.06092556523
483	0.06069206364
484	0.06040249642
485	0.06024479693
486	0.05998256607
487	0.05980658105
488	0.05975142997
489	0.05949112886
490	0.05920088682
491	0.0588538391
492	0.0586463308
493	0.05843886005
494	0.05821130702
495	0.05808111896
496	0.05792347478
497	0.05776607039
498	0.05753816965
499	0.05732667165
500	0.05709130006
501	0.05687406474
502	0.05664738613
503	0.05652893263
504	0.05641873726
505	0.05628668513
506	0.05606287471
507	0.05591189246
508	0.05561679137
509	0.05546398338
510	0.05533880119
511	0.05501920192
512	0.05477180067
513	0.05459872398
514	0.05446129744
515	0.054302992
516	0.05408740792
517	0.05381546389
518	0.05369245035
519	0.05346905763
520	0.0532500855
521	0.05317167561
522	0.05302897701
523	0.05293871236
524	0.05275153777
525	0.05242927008
526	0.05227305244
527	0.0521426475
528	0.05190007125
529	0.0517475728
530	0.05153765157
531	0.05134771522
532	0.05124132331
533	0.05093594127
534	0.05079173432
535	0.05068202611
536	0.05050748126
537	0.05029741959
538	0.05020583513
539	0.04992858692
540	0.04983535125
541	0.04970895839
542	0.04955734662
543	0.04949130878
544	0.04920563462
545	0.04905910707
546	0.04892241196
547	0.04870852038
548	0.04849412015
549	0.04827037292
550	0.04818781694
551	0.04808657494
552	0.04797351855
553	0.04785270281
554	0.0477105873
555	0.04751025631
556	0.04743383968
557	0.04725054124
558	0.04705519681
559	0.04677291699
560	0.04654074519
561	0.04627013092
562	0.04608490678
563	0.04594984606
564	0.04584838206
565	0.04572768951
566	0.04563777373
567	0.04552841269
568	0.04534277456
569	0.04514943839
570	0.04507002005
571	0.04497267197
572	0.04485175873
573	0.04459881678
574	0.04440655986
575	0.04421681693
576	0.04415060764
577	0.0439899706
578	0.04382017807
579	0.04371017104
580	0.04354725379
581	0.04336447538
582	0.04328953384
583	0.04311243787
584	0.04288854929
585	0.0427581228
586	0.0426108774
587	0.04242904868
588	0.0423028241
589	0.04220315759
590	0.04208971697
591	0.04193838928
592	0.04183500683
593	0.04177305012
594	0.0416140982
595	0.04152356712
596	0.04142094227
597	0.04130102294
598	0.04120085334
599	0.04108859441
600	0.04100179243
601	0.04093874795
602	0.04082936769
603	0.04065326767
604	0.04049345692
605	0.04035917613
606	0.04030441893
607	0.04024438144
608	0.04016429433
609	0.04004053961
610	0.03998230316
611	0.03989452626
612	0.03982237365
613	0.03969062791
614	0.03952855362
615	0.03941686239
616	0.03923062269
617	0.03914419451
618	0.03900403623
619	0.03894055711
620	0.03886385946
621	0.03878834298
622	0.03861484948
623	0.03853936738
624	0.03840031438
625	0.03828160676
626	0.03813419088
627	0.0380681809
628	0.0379341095
629	0.03782291074
630	0.03773528637
631	0.03761601003
632	0.03744955306
633	0.03735032797
634	0.03726528066
635	0.03720939961
636	0.03708757689
637	0.03689099914
638	0.03681151333
639	0.0367175986
640	0.03663939408
641	0.03655931161
642	0.03650484471
643	0.03640815463
644	0.03622467387
645	0.0361393273
646	0.03603781628
647	0.0358869786
648	0.03577378157
649	0.03567629486
650	0.03559070142
651	0.03551125343
652	0.03540368449
653	0.03527122246
654	0.03520191973
655	0.03509741844
656	0.03503432881
657	0.03492943228
658	0.03471866328
659	0.03461298296
660	0.03451201843
661	0.03433636939
662	0.03422855309
663	0.03411318053
664	0.03402639891
665	0.03397214493
666	0.03388844478
667	0.03370027354
668	0.03363326059
669	0.03346249536
670	0.03333539851
671	0.03326020396
672	0.03321883005
673	0.03315133638
674	0.03305434146
675	0.03290717568
676	0.03285157726
677	0.03273404499
678	0.0326383665
679	0.03246992714
680	0.03235633334
681	0.03216243679
682	0.03207847783
683	0.03196584919
684	0.03188862114
685	0.03179108809
686	0.03174317988
687	0.0316126995
688	0.03149928893
689	0.03144465078
690	0.03137790935
691	0.03122388147
692	0.03113311489
693	0.03100383416
694	0.03088424001
695	0.03078311015
696	0.03065107312
697	0.03052734174
698	0.03046206518
699	0.0303705107
700	0.0302620927
701	0.03016435458
702	0.03009516045
703	0.0300075108
704	0.02990453162
705	0.02980974386
706	0.02974344364
707	0.02968833385
708	0.0295628821
709	0.02953248722
710	0.029414418
711	0.02933928018
712	0.02926886986
713	0.0291976808
714	0.0291398497
715	0.02907246572
716	0.02898740994
717	0.02883581232
718	0.02877947978
719	0.02872809075
720	0.02868119802
721	0.02861716512
722	0.02856819604
723	0.02849899291
724	0.02839989434
725	0.02833905715
726	0.02826898588
727	0.02818183293
728	0.02814744982
729	0.02808586824
730	0.02803169495
731	0.02787805103
732	0.02780542153
733	0.02775352533
734	0.02766184161
735	0.02757844012
736	0.02752841444
737	0.0274398621
738	0.02736790929
739	0.02727946669
740	0.02718742604
741	0.02712393296
742	0.02699001582
743	0.02692221124
744	0.02686594491
745	0.02677294015
746	0.02672633319
747	0.02663929508
748	0.02660443108
749	0.02650439965
750	0.0264353917
751	0.02640820615
752	0.02633240143
753	0.02628331459
754	0.02620506998
755	0.02610307333
756	0.02604368988
757	0.02598199258
758	0.025883019
759	0.0258196287
760	0.02577872156
761	0.02567159456
762	0.02561860634
763	0.02555655243
764	0.02548340559
765	0.02543532215
766	0.02536990279
767	0.02529885567
768	0.02526736544
769	0.02517405211
770	0.02507694408
771	0.02499775847
772	0.02493399015
773	0.02481405202
774	0.02474996781
775	0.02468566567
776	0.02454013751
777	0.02446618623
778	0.02439805112
779	0.02429503783
780	0.02423576671
781	0.02419364042
782	0.02413772851
783	0.02407052597
784	0.02401383126
785	0.02395201699
786	0.02391764504
787	0.0238234902
788	0.02374610388
789	0.02368926922
790	0.02364185918
791	0.02351816805
792	0.02345702037
793	0.02337665583
794	0.02327101269
795	0.02320801998
796	0.02316942198
797	0.02313667244
798	0.023103605
799	0.02305291777
800	0.02302700901
801	0.02298324505
802	0.02291288874
803	0.02285345614
804	0.02281840532
805	0.022777905
806	0.02272816936
807	0.0226300128
808	0.02253706666
809	0.02245608815
810	0.02239416491
811	0.0223321563
812	0.02228395989
813	0.02224921471
814	0.02219986212
815	0.02216043879
816	0.02210691778
817	0.02205654277
818	0.02203606542
819	0.0219811968
820	0.02192398803
821	0.02185544397
822	0.02178629433
823	0.02174772464
824	0.02168121022
825	0.02162965512
826	0.02158108776
827	0.02153127595
828	0.02145623056
829	0.02140281395
830	0.02134488394
831	0.02129751752
832	0.021236928
833	0.02116965793
834	0.02110573721
835	0.02107648931
836	0.02102967505
837	0.02098850212
838	0.02095014707
839	0.02093005005
840	0.0208767597
841	0.02081851168
842	0.02076826883
843	0.02071418049
844	0.02062703026
845	0.02057807481
846	0.02055951076
847	0.02053919184
848	0.02048275848
849	0.02043199643
850	0.02038807477
851	0.02032863343
852	0.02027945034
853	0.02025205361
854	0.02019633556
855	0.02008754892
856	0.02000969664
857	0.01996942648
858	0.01989566311
859	0.01985521543
860	0.01982484589
861	0.01974376804
862	0.01968509937
863	0.01959241425
864	0.01955297044
865	0.01948181069
866	0.01941746637
867	0.01938607027
868	0.01932191086
869	0.01930109933
870	0.01923275529
871	0.01921014828
872	0.01918851277
873	0.01913712115
874	0.01909809983
875	0.01899128555
876	0.01893550364
877	0.01890295816
878	0.01887407874
879	0.01885140017
880	0.01881097995
881	0.01876161616
882	0.01871173705
883	0.01866401995
884	0.01863065266
885	0.01860419259
886	0.01852861228
887	0.01847913016
888	0.01845857859
889	0.01839157521
890	0.01834973722
891	0.01830618497
892	0.01820341102
893	0.01815123489
894	0.01811055383
895	0.01807844142
